"Club","games","wins","winrate","g_scored","g_conceded","shots","passes","nations","big_chances","saves","fouls","ycard","rcard"
"Arsenal",65.8333333333333,33.5,0.508860759493671,0.167088607594937,1.06796494644596,1.28845867460908,43.5686075949367,14,0.156399437412096,1.12405063291139,0.815696202531646,0.152911392405063,0.00658227848101266
"Aston-Villa",36.2857142857143,10.1071428571429,0.278543307086614,0.0964566929133858,1.89945487583283,0.81758530183727,30.1200787401575,15,0.0922629236562821,2.58503937007874,0.724409448818898,0.108267716535433,0.00196850393700787
"Brighton-and-Hove-Albion",36.8484848484849,10.5454545454545,0.286184210526316,0.174459586466165,0.95952772556391,1.39404432132964,32.5172697368421,15,0.108552631578947,2.30674342105263,0.773026315789474,0.0995065789473684,0.00411184210526316
"Burnley",101.291666666667,31.875,0.314685314685315,0.111065405183052,1.14748599816473,1.33637485509143,29.6186754422049,8,0.0996650408415114,0.779925956396545,0.909913615795969,0.150966680378445,0.00205676676264912
"Chelsea",72.7777777777778,37.8888888888889,0.520610687022901,0.177009429726089,1.09817968291251,1.52224645583424,42.452417302799,13,0.119267175572519,1.47022900763359,0.78117048346056,0.0972010178117048,0.00356234096692112
"Crystal-Palace",123.709677419355,42.3225806451613,0.342112125162973,0.161219759524844,1.27061603650587,1.32406779661017,29.7019556714472,14,0.068997951201341,2.1528900478053,0.888657105606258,0.123859191655802,0.00365058670143416
"Everton",85.5806451612903,33.3870967741936,0.390124387485865,0.193449763370608,1.1472432580612,1.55759517527328,29.6833773087071,15,0.13896666846158,2.54340997612765,0.703354692800603,0.102148511119487,0.0030154542027893
"Fulham",21.16,4.56,0.215500945179584,0.242202268431002,1.13815374921235,1.58862876254181,31.9886578449905,18,0.0794810104829008,0.330812854442344,0.896030245746692,0.117202268431002,0.00756143667296786
"Leeds-United",6.23076923076923,1.46153846153846,0.234567901234568,0.385185185185185,0.408529741863075,1.65843621399177,29.641975308642,10,0.133744855967078,0,0.672839506172839,0.0740740740740741,0
"Leicester-City",78.0967741935484,32,0.409748038000826,0.164021164021164,1.12483716201188,1.34306301344715,29.3981825691863,17,0.11890010031274,2.99628252788104,0.726559273027675,0.0958281701776126,0.00702189178025609
"Liverpool",88.3529411764706,51.6176470588235,0.58422103861518,0.281069684864625,0.600675290089405,1.79337549933422,37.8325565912117,19,0.164699940309472,1.45326231691079,0.695073235685752,0.0895472703062583,0.00399467376830892
"Manchester-City",98.5185185185185,62.5185185185185,0.634586466165414,0.335639097744361,1.0501025290499,1.99708646616541,43.5458646616541,12,0.184821428571429,2.08759398496241,0.721052631578947,0.109398496240602,0.00413533834586466
"Manchester-United",90.1935483870968,45.7096774193548,0.506795422031474,0.13607101053453,0.957418160397206,1.57360004087472,37.2532188841202,13,0.107998198484608,3.01019313304721,0.744277539341917,0.11516452074392,0.00393419170243205
"Newcastle-United",80.3,24.9,0.310087173100872,0.121419676214197,1.24245617396302,1.53395355651601,27.2303860523039,16,0.113995593447648,1.01494396014944,0.826068908260689,0.136156081361561,0.0066417600664176
"Sheffield-United",41.3928571428571,14.3214285714286,0.345987920621225,0.115616911130285,1.12579810181191,0.970067033915179,30.1095772217429,8,0.0744895024446362,0.827437446074202,0.64969801553063,0.0957722174288179,0.00517687661777394
"Southampton",83.2916666666667,27.1666666666667,0.32616308154077,0.150475237618809,0.986493246623312,1.65882941470735,27.3016508254127,10,0.114657328664332,1.90895447723862,0.837418709354677,0.113556778389195,0.00400200100050025
"Tottenham-Hotspur",90.75,46.125,0.508264462809917,0.224445411048282,0.963820018365473,1.79808783017339,34.1181129476584,15,0.119171513110907,3.9030303030303,0.695247933884298,0.103305785123967,0.00378787878787879
"West-Bromwich-Albion",39.4285714285714,14.4642857142857,0.366847826086956,0.198671497584541,1.06911928651059,1.15990338164251,27.8179347826087,12,0.0882608695652174,0.169082125603865,0.863224637681159,0.131340579710145,0.00634057971014493
"West-Ham-United",73.2068965517241,24.8965517241379,0.340084785680641,0.158796514366463,1.27247364034929,1.30793688177108,34.6137541215261,13,0.119660857277438,3.09738577484691,0.722562411681583,0.137070183702308,0.00518134715025907
"Wolverhampton-Wanderers",42.5909090909091,16.2272727272727,0.381003201707577,0.157310565635005,1.22326574172892,1.17004624688723,31.6830309498399,12,0.105656350053362,6.85592315901814,0.663820704375667,0.100320170757737,0.00426894343649947
